799406416	20181102	201811	2018	2018.8274	PTY	DEMOCRATIC PARTY									ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	4	1	4	-4.26356589147286	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181102	https://www.thecable.ng/watch-your-tongue-pdp-tells-tinubu-over-unsavoury-comment-on-atiku
799460481	20181102	201811	2018	2018.8274	TWN	TAIWAN	TWN								MIL	MILITARY FORCE						MIL			1	1384	138	13	3	-7.0	8	1	8	-2.78688524590164	4	Republic Of China, Taiwan (general), Taiwan	TW	TW00	24	121	-2637939	4	Dubai World Trade Centre, Dubayy, United Arab Emirates	AE	AE03	25.2274	55.2886	11413138	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20181102	https://www.ntd.tv/2018/11/02/taiwan-seeks-observer-status-at-interpol-as-it-endures-massive-cyberattacks-from-china/
799464523	20181102	201811	2018	2018.8274											YEM	SANAA	YEM								1	130	130	13	3	-4.4	7	4	7	-5.12693773303653	0							4	Sanaa, Sana', Yemen	YM	YM16	15.3547	44.2067	-3191442	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://www.reuters.com/article/us-yemen-security-sanaa/saudi-coalition-in-yemen-attacks-sanaa-sites-clashes-in-hodeidah-idUSKCN1N669S
799464868	20181102	201811	2018	2018.8274	EGY	EGYPT	EGY								YEM	YEMEN	YEM								1	130	130	13	3	-4.4	7	4	7	-5.12693773303653	1	Saudi Arabia	SA	SA	25	45	SA	4	Sanaa, Sana', Yemen	YM	YM16	15.3547	44.2067	-3191442	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://www.reuters.com/article/us-yemen-security-sanaa/saudi-coalition-in-yemen-attacks-sanaa-sites-clashes-in-hodeidah-idUSKCN1N669S
799464869	20181102	201811	2018	2018.8274	EGY	EGYPT	EGY								YEM	YEMEN	YEM								1	130	130	13	3	-4.4	8	4	8	-5.12693773303653	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://www.reuters.com/article/us-yemen-security-sanaa/saudi-coalition-in-yemen-attacks-sanaa-sites-clashes-in-hodeidah-idUSKCN1N669S
799495741	20181102	201811	2018	2018.8274	EGY	EGYPT	EGY								YEM	SANAA	YEM								1	130	130	13	3	-4.4	1	1	1	-5.12820512820513	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://middle-east-online.com/en/saudi-coalition-attacks-sanaa-sites-used-huthi-rebels
799496134	20181102	201811	2018	2018.8274	ISRGOV	YUVAL STEINITZ	ISR					GOV			ISR	ISRAELI	ISR								1	130	130	13	3	-4.4	1	1	1	-6.11702127659575	4	Jerusalem, Israel (general), Israel	IS	IS00	31.7667	35.2333	-797092	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://www.reuters.com/article/us-saudi-khashoggi-israel/israeli-official-damns-khashoggi-killing-but-deems-riyadh-ally-against-iran-idUSKCN1N70SV
799499213	20181102	201811	2018	2018.8274	ISRGOV	YUVAL STEINITZ	ISR					GOV			ISR	ISRAELI	ISR								1	130	130	13	3	-4.4	2	2	2	-6.37126436781609	1	United Arab Emirates	AE	AE	24	54	AE	4	Jerusalem, Israel (general), Israel	IS	IS00	31.7667	35.2333	-797092	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://in.reuters.com/article/saudi-khashoggi-israel/israeli-official-damns-khashoggi-killing-but-deems-riyadh-ally-against-iran-idINKCN1N70SH
799499214	20181102	201811	2018	2018.8274	ISRGOV	YUVAL STEINITZ	ISR					GOV			ISR	ISRAELI	ISR								1	130	130	13	3	-4.4	2	2	2	-5.94966711980202	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20181102	http://www.swissinfo.ch/eng/israeli-official-damns-khashoggi-killing-but-deems-riyadh-ally-against-iran/44517008
799505706	20181102	201811	2018	2018.8274	ISRGOV	YUVAL STEINITZ	ISR					GOV			ISR	ISRAELI	ISR								1	130	130	13	3	-4.4	2	2	2	-6.7064514209448	1	United Arab Emirates	AE	AE	24	54	AE	1	Israel	IS	IS	31.5	34.75	IS	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://www.dnaindia.com/world/report-israeli-official-damns-khashoggi-killing-but-deems-riyadh-ally-against-iran-2682014
799509137	20181102	201811	2018	2018.8274	IRN	IRAN	IRN								DNK	DENMARK	DNK								1	138	138	13	3	-7.0	2	1	2	-5.2892561983471	1	United Arab Emirates	AE	AE	24	54	AE	1	Israel	IS	IS	31.5	34.75	IS	1	United Arab Emirates	AE	AE	24	54	AE	20181102	https://www.haaretz.com/israel-news/netanyahu-events-at-istanbul-consulate-horrendous-1.6615648
